제조국,브랜드,이름,가격(최소),가격(최대),차종,엔진,연비(최소),연비(최대),출력(최소),출력(최대),출시년도,사진번호
한국,현대,캐스퍼,1375,1960,경형 SUV,가솔린,none,none,none,none,none,none
한국,현대,더 뉴 아반떼,1975,2826,준중형,"가솔린, LPG",none,none,none,none,none,none
한국,현대,더 뉴 아반떼 HEV,2597,3304,준중형,가솔린 하이브리드,none,none,none,none,none,none
한국,현대,더 뉴 아반떼 N,3352,3568,준중형,가솔린,none,none,none,none,none,none
한국,현대,쏘나타 디 엣지,2546,3917,중형,"가솔린, LPG",none,none,none,none,none,none
한국,현대,쏘나타 디 엣지 HEV,3330,4064,중형,가솔린 하이브리드,none,none,none,none,none,none
한국,현대,디 올 뉴 그랜저,3743,5315,준대형,"가솔린, LPG",none,none,none,none,none,none
한국,현대,디 올 뉴 그랜저 HEV,4409,5516,준대형,가솔린 하이브리드,none,none,none,none,none,none
한국,현대,아이오닉 6,5267,6768,준대형,전기,none,none,none,none,none,none
한국,현대,더 뉴 아이오닉 5,5519,6562,중형 SUV,전기,none,none,none,none,none,none
한국,현대,아이오닉 5 N,8005,,중형 SUV,전기,none,none,none,none,none,none
한국,현대,아이오닉 5,5272,6495,중형 SUV,전기,none,none,none,none,none,none
한국,현대,베뉴,1642,2413,소형 SUV,가솔린,none,none,none,none,none,none
한국,현대,디 올 뉴 코나,2446,3422,소형 SUV,가솔린,none,none,none,none,none,none
한국,현대,디 올 뉴 코나 HEV,3102,3737,소형 SUV,가솔린 하이브리드,none,none,none,none,none,none
한국,현대,디 올 뉴 코나 EV,4584,5363,소형 SUV,전기,none,none,none,none,none,none
한국,현대,더 뉴 코나 HEV,2724,3255,소형 SUV,가솔린 하이브리드,none,none,none,none,none,none
한국,현대,더 뉴 투싼,2771,4004,준중형 SUV,"가솔린, 디젤",none,none,none,none,none,none
한국,현대,더 뉴 투싼 HEV,3356,4304,준중형 SUV,가솔린 하이브리드,none,none,none,none,none,none
한국,현대,디 올 뉴 투싼,2603,3822,준중형 SUV,"가솔린, 디젤",none,none,none,none,none,none
한국,현대,디 올 뉴 투싼 HEV,3170,4143,준중형 SUV,가솔린 하이브리드,none,none,none,none,none,none
한국,현대,디 올 뉴 싼타페,3546,4700,중형 SUV,가솔린,none,none,none,none,none,none
한국,현대,디 올 뉴 싼타페 HEV,4031,5140,중형 SUV,가솔린 하이브리드,none,none,none,none,none,none
한국,현대,더 뉴 싼타페,3277,4546,중형 SUV,"가솔린, 디젤",none,none,none,none,none,none
한국,현대,더 뉴 싼타페 HEV,3710,4762,중형 SUV,가솔린 하이브리드,none,none,none,none,none,none
한국,현대,더 뉴 팰리세이드,3896,5491,대형 SUV,"가솔린, 디젤",none,none,none,none,none,none
한국,현대,넥쏘,7320,,소형 SUV,수소,none,none,none,none,none,none
한국,현대,스타리아,2596,7401,승합,"디젤, LPG",none,none,none,none,none,none
한국,현대,스타리아 HEV,3433,4614,승합,가솔린 하이브리드,none,none,none,none,none,none
한국,현대,포터2,1719,2546,화물,"LPG, 디젤",none,none,none,none,none,none
한국,현대,포터2 특장차,2199,8725,화물,"LPG, 디젤",none,none,none,none,none,none
한국,현대,포터2 Electric,4375,5006,화물,전기,none,none,none,none,none,none
한국,현대,쏠라티,6451,7144,승합,디젤,none,none,none,none,none,none
한국,현대,카운티,7173,9412,승합,디젤,none,none,none,none,none,none
한국,현대,카운티 일렉트릭,19984,20994,승합,전기,none,none,none,none,none,none
한국,현대,마이티,5084,9886,화물,디젤,none,none,none,none,none,none
한국,현대,파비스,7935,18238,화물,디젤,none,none,none,none,none,none
한국,현대,ST1,5980,7195,화물,전기,none,none,none,none,none,none
한국,제네시스,더 뉴 G70,4347,5326,준대형,가솔린,none,none,none,none,none,none
한국,제네시스,G70 슈팅 브레이크,4545,5128,준대형,가솔린,none,none,none,none,none,none
한국,제네시스,디 올 뉴 G80 F/L,5890,7390,준대형,가솔린,none,none,none,none,none,none
한국,제네시스,Electrified G80,8821,,준대형,전기,none,none,none,none,none,none
한국,제네시스,디 올 뉴 G80,5548,6860,준대형,가솔린,none,none,none,none,none,none
한국,제네시스,신형 G90,9445,17610,대형,가솔린,none,none,none,none,none,none
한국,제네시스,GV60,6776,7749,준중형 SUV,전기,none,none,none,none,none,none
한국,제네시스,GV70,5040,6565,중형 SUV,"가솔린, 디젤",none,none,none,none,none,none
한국,제네시스,Electrified GV70,7723,7802,중형 SUV,전기,none,none,none,none,none,none
한국,제네시스,GV80 F/L,6930,8080,대형 SUV,가솔린,none,none,none,none,none,none
한국,제네시스,GV80 Coupe,8255,9190,대형 SUV,가솔린,none,none,none,none,none,none
한국,제네시스,GV80,6478,7645,대형 SUV,"가솔린, 디젤",none,none,none,none,none,none
한국,기아,더 뉴 모닝,1290,1820,경형,가솔린,none,none,none,none,none,none
한국,기아,모닝 어반,1175,1540,경형,가솔린,none,none,none,none,none,none
한국,기아,더 뉴 레이 PE,1330,1865,경형,가솔린,none,none,none,none,none,none
한국,기아,더 레이 EV,2735,2955,경형,전기,none,none,none,none,none,none
한국,기아,더 뉴 K3,1765,2507,준중형,가솔린,none,none,none,none,none,none
한국,기아,더 뉴 K3 GT,2745,2784,준중형,가솔린,none,none,none,none,none,none
한국,기아,더 뉴 K5,2435,3526,중형,"가솔린, LPG",none,none,none,none,none,none
한국,기아,더 뉴 K5 HEV,3326,3954,중형,가솔린 하이브리드,none,none,none,none,none,none
한국,기아,K8,2910,4624,준대형,"가솔린, LPG",none,none,none,none,none,none
한국,기아,K8 HEV,3910,4788,준대형,가솔린 하이브리드,none,none,none,none,none,none
한국,기아,더 뉴 K9,5815,8685,대형,가솔린,none,none,none,none,none,none
한국,기아,EV3,4208,5108,준중형 SUV,전기,none,none,none,none,none,none
한국,기아,디 올 뉴 니로 EV,5114,5393,준중형 SUV,전기,none,none,none,none,none,none
한국,기아,니로 플러스,4600,5108,준중형 SUV,전기,none,none,none,none,none,none
한국,기아,디 올 뉴 니로 HEV,2856,3519,준중형 SUV,가솔린 하이브리드,none,none,none,none,none,none
한국,기아,더 뉴 셀토스,2087,2903,소형 SUV,가솔린,none,none,none,none,none,none
한국,기아,디 올 뉴 스포티지,2492,3892,준중형 SUV,"가솔린, 디젤, LPG",none,none,none,none,none,none
한국,기아,디 올 뉴 스포티지 HEV,3331,4197,준중형 SUV,가솔린 하이브리드,none,none,none,none,none,none
한국,기아,더 뉴 EV6,5540,6602,중형 SUV,전기,none,none,none,none,none,none
한국,기아,EV6,5130,6635,중형 SUV,전기,none,none,none,none,none,none
한국,기아,EV6 GT,7584,7605,중형 SUV,전기,none,none,none,none,none,none
한국,기아,더 뉴 쏘렌토,3506,4682,중형 SUV,"가솔린, 디젤",none,none,none,none,none,none
한국,기아,더 뉴 쏘렌토 HEV,3929,4915,중형 SUV,가솔린 하이브리드,none,none,none,none,none,none
한국,기아,신형 쏘렌토 4세대,3024,4543,중형 SUV,"가솔린, 디젤",none,none,none,none,none,none
한국,기아,신형 쏘렌토 HEV 4세대,3773,4795,중형 SUV,가솔린 하이브리드,none,none,none,none,none,none
한국,기아,모하비 더 마스터,5054,6097,대형 SUV,디젤,none,none,none,none,none,none
한국,기아,EV9,7728,9124,대형 SUV,전기,none,none,none,none,none,none
한국,기아,더 뉴 카니발,3470,9200,RV/MPV,"디젤, 가솔린",none,none,none,none,none,none
한국,기아,더 뉴 카니발 HEV,3925,9650,RV/MPV,가솔린 하이브리드,none,none,none,none,none,none
한국,기아,봉고3 트럭,1659,2631,화물,"LPG, 디젤",none,none,none,none,none,none
한국,기아,봉고3 특장차,2122,4115,화물,"LPG, 디젤",none,none,none,none,none,none
한국,기아,봉고3 EV,4185,6198,화물,전기,none,none,none,none,none,none
한국,쉐보레,트랙스 크로스오버,2188,2880,소형 SUV,가솔린,none,none,none,none,none,none
한국,쉐보레,더 뉴 트레일블레이저,2699,3339,소형 SUV,가솔린,none,none,none,none,none,none
한국,쉐보레,트레일블레이저,2589,2999,소형 SUV,가솔린,none,none,none,none,none,none
한국,쉐보레,더 넥스트 이쿼녹스,3145,4145,중형 SUV,가솔린,none,none,none,none,none,none
한국,쉐보레,트래버스,5640,6615,대형 SUV,가솔린,none,none,none,none,none,none
한국,쉐보레,타호,9390,9500,대형 SUV,가솔린,none,none,none,none,none,none
한국,쉐보레,리얼 뉴 콜로라도,4050,4889,화물,가솔린,none,none,none,none,none,none
한국,GMC,Sierra,9330,9550,화물,가솔린,none,none,none,none,none,none
한국,KG모빌리티,더 뉴 티볼리,1898,2807,소형 SUV,가솔린,none,none,none,none,none,none
한국,KG모빌리티,더 뉴 티볼리 에어,2312,2719,소형 SUV,가솔린,none,none,none,none,none,none
한국,KG모빌리티,리스펙 코란도,2445,3060,중형 SUV,가솔린,none,none,none,none,none,none
한국,KG모빌리티,코란도 EV,4243,4786,준중형 SUV,전기,none,none,none,none,none,none
한국,KG모빌리티,코란도 이모션,4057,4590,중형 SUV,전기,none,none,none,none,none,none
한국,KG모빌리티,더 뉴 토레스,2666,3761,중형 SUV,"가솔린, LPG",none,none,none,none,none,none
한국,KG모빌리티,토레스 EVX,4438,5287,중형 SUV,전기,none,none,none,none,none,none
한국,KG모빌리티,토레스,2627,3753,중형 SUV,"가솔린, LPG",none,none,none,none,none,none
한국,KG모빌리티,렉스턴 뉴 아레나,4010,5255,대형 SUV,디젤,none,none,none,none,none,none
한국,KG모빌리티,렉스턴 써밋,6050,,대형 SUV,디젤,none,none,none,none,none,none
한국,KG모빌리티,렉스턴 스포츠,2827,3974,화물,디젤,none,none,none,none,none,none
한국,KG모빌리티,렉스턴 스포츠 쿨멘,2879,4031,화물,디젤,none,none,none,none,none,none
한국,KG모빌리티,렉스턴 스포츠 칸,3088,4469,화물,디젤,none,none,none,none,none,none
한국,KG모빌리티,렉스턴 스포츠 칸 쿨멘,3140,4246,화물,디젤,none,none,none,none,none,none
한국,르노코리아,더 뉴 SM6,2871,3708,중형,"가솔린, LPG",none,none,none,none,none,none
한국,르노코리아,Arkana,2285,2914,소형 SUV,가솔린,none,none,none,none,none,none
한국,르노코리아,Arkana E-TECH,2988,3310,소형 SUV,가솔린 하이브리드,none,none,none,none,none,none
한국,르노코리아,XM3,2023,2914,소형 SUV,가솔린,none,none,none,none,none,none
한국,르노코리아,XM3 E-TECH,2938,3660,소형 SUV,가솔린 하이브리드,none,none,none,none,none,none
한국,르노코리아,더 뉴 QM6,2840,3793,중형 SUV,"LPG, 가솔린",none,none,none,none,none,none
한국,르노코리아,QM6 Quest,2495,3220,화물,LPG,none,none,none,none,none,none
한국,르노코리아,뉴 마스터,3685,3845,승합,디젤,none,none,none,none,none,none
한국,스마트 EV,EV Z,2750,,경형,전기,none,none,none,none,none,none
한국,스마트 EV,D2P,1980,,화물,전기,none,none,none,none,none,none
한국,스마트 EV,D2C,1980,,화물,전기,none,none,none,none,none,none
한국,대창모터스,다니고 카고,3290,3880,화물,전기,none,none,none,none,none,none
한국,대창모터스,다니고 특장,4310,5780,화물,전기,none,none,none,none,none,none
한국,디피코,포트로 P250,2233,2288,경형,전기,none,none,none,none,none,none
한국,디피코,포트로 P350,3245,3333,경형,전기,none,none,none,none,none,none
한국,쎄보모빌리티,CEVO-C SE,1570,1690,경형,전기,none,none,none,none,none,none
한국,제이스 모빌리티,이티밴,3120,3990,화물,전기,none,none,none,none,none,none
한국,EVKMC,마사다 QQ밴,1950,,경형,전기,none,none,none,none,none,none
한국,EVKMC,마사다 밴,3780,3980,화물,전기,none,none,none,none,none,none
한국,EVKMC,마사다 픽업,3779,,화물,전기,none,none,none,none,none,none
한국,마이브,M1,1892,,경형,전기,none,none,none,none,none,none
한국,모빌리티네트웍스,SE-A,3980,,화물,전기,none,none,none,none,none,none
유럽,벤츠,The New A-Class F/L,4710,6650,소형,가솔린,none,none,none,none,none,none
유럽,벤츠,The New A-Class,4110,7310,소형,"가솔린, 디젤",none,none,none,none,none,none
유럽,벤츠,The New C-Class,6200,7701,중형,가솔린,none,none,none,none,none,none
유럽,벤츠,New C-Class,6450,10090,중형,가솔린,none,none,none,none,none,none
유럽,벤츠,The New CLA-Class,6250,6320,중형,가솔린,none,none,none,none,none,none
유럽,벤츠,CLA-Class,5630,8950,중형,가솔린,none,none,none,none,none,none
유럽,벤츠,The All New CLE,7270,10080,중형,가솔린,none,none,none,none,none,none
유럽,벤츠,The New CLS-Class,9500,14040,준대형,"디젤, 가솔린",none,none,none,none,none,none
유럽,벤츠,The New CLS-Class,12680,12760,준대형,가솔린,none,none,none,none,none,none
유럽,벤츠,The New E-Class,7390,12300,준대형,"가솔린, 디젤",none,none,none,none,none,none
유럽,벤츠,The New E-Class,6780,12980,준대형,"가솔린, 디젤, 전기 하이브리드",none,none,none,none,none,none
유럽,벤츠,The New S-Class,14180,29900,대형,"가솔린, 전기 하이브리드, 디젤",none,none,none,none,none,none
유럽,벤츠,S-Class,22760,,대형,가솔린,none,none,none,none,none,none
유럽,벤츠,Maybach GLS-Class F/L,27900,31900,대형 SUV,가솔린,none,none,none,none,none,none
유럽,벤츠,The New Maybach S-Class,27300,59000,대형,가솔린,none,none,none,none,none,none
유럽,벤츠,Maybach GLS-Class,26000,29900,대형 SUV,가솔린,none,none,none,none,none,none
유럽,벤츠,The new SL-Class,23500,26300,스포츠카,가솔린,none,none,none,none,none,none
